NAY,南苑机场
PEK,首都国际机场
PVG,浦东国际机场
SHA,虹桥国际机场
TSN,滨海国际机场
CKG,江北国际机场
HRB,太平国际机场
DLC,周水子国际机场
TAO,流亭国际机场
XIY,咸阳国际机场
DNH,敦煌机场
NKG,禄口国际机场
WUX,无锡苏南硕放国际机场
YTY,扬州泰州机场
HGH,萧山国际机场
HSN,普陀山机场
TXN,屯溪机场
JIU,庐山机场
XMN,高崎国际机场
WUS,武夷山机场
DYG,荷花机场
CTU,双流国际机场
SZX,宝安国际机场
ZUH,三灶机场
CAN,新白云国际机场
KWL,两江国际机场
KMG,巫家坝国际机场
JHG,西双版纳机场
DLU,大理机场
LJG,丽江机场
KWE,龙洞堡国际机场
URC,地窝堡国际机场
LXA,贡嘎国际机场
HAK,美兰国际机场
SYX,凤凰国际机场
HKG,赤腊角国际机场
MFM,澳门机场
TGG,瓜拉丁加奴机场
SIN,樟宜机场
NTG,兴东机场
JZH,黄龙机场
RKZ,日喀则和平机场
DIG,香格里拉机场
NGQ,阿里昆莎机场
INC,河东机场
LHW,中川机场
HET,白塔国际机场
TYN,武宿国际机场
LZY,林芝米林机场
KHG,喀什机场
ENY,二十里铺机场
XNN,曹家堡机场
HZG,西关机场
GOQ,格尔木机场
DAT,大同机场
CIH,长治机场
YCU,运城关公机场
BAV,二里半机场
HLD,东山国际机场
TNA,遥墙国际机场
SHP,山海关机场
NDG,三家子机场
MDG,海浪机场
OHE,漠河机场
JXA,兴凯湖机场
CGQ,龙嘉国际机场
JIL,二台子机场
KRY,克拉玛依机场
OVB,新西伯利亚机场
AKA,五里铺机场
AKU,阿克苏机场
ALA,阿拉木图机场
AAT,阿勒泰机场
AMS,阿姆斯特丹机场
AQG,天柱山机场
AOG,鞍山腾鳌机场
AVA,黄果树机场
BHY,福城机场
CDG,巴黎戴高乐机场
ORY,巴黎奥利机场
SXF,肖尔内菲尔德机场
BER,勃兰登堡国际机场
TXL,泰格尔机场
BAH,巴林机场
BRU,布鲁塞尔机场
ZYR,米迪火车站
BSD,保山机场
NBS,长白山机场
CGD,桃花源机场
CIF,玉龙机场
NGS,长崎机场
CSX,黄花国际机场
OKA,冲绳机场
CHG,朝阳机场
CZX,奔牛国际机场
ITM,伊丹机场
KIX,关西国际机场
